ISODateTimeUTC,SecondsSince1970,SOG,TWA,TWS,TWD,BelowLineCalc,COG,DistanceToLeader,Heel,Heel_Abs,Heel_Lwd,Lat,LatBow,LatCenter,LatStern,Leg,Line_C,Line_L,Line_R,Log,LogAlongCourse,Lon,LonBow,LonCenter,LonStern,MagneticVariation,Rank,ROT,Side_lines,TimeLocal,TimeUTC,Total_lines,Trim,TWA_Abs,VMC,VMG,XTE
2025-06-06T14:38:00.000Z,1749220680.000,15.6,45.256,8.405,177.705,264.975,132.449,0,45.797,45.797,45.797,43.529023107,43.529021832,43.52902608,43.529030328,1,79.574,4,4.37,21993.627,-333.426,4.087389781,4.087391702,4.087385297,4.087378892,2.5,1,-6.697,8.464,1749227880000,1749220680000,87.785,4.994,45.256,15.513,10.981,51.982
2025-06-06T14:38:01.000Z,1749220681.000,16.1,44.063,8.497,177.8,258.279,133.737,0,58.503,58.503,58.503,43.528971619,43.528970313,43.528974664,43.528979015,1,77.9,3.434,3.467,22001.917,-325.208,4.087463853,4.087465735,4.087459463,4.087453192,2.5,1,8.171,6.901,1749227881000,1749220681000,84.813,5.9,44.063,16.043,11.568,51.037
2025-06-06T14:38:02.000Z,1749220682.000,16.043,40.871,8.502,177.9,251.482,137.029,0,54.943,54.943,54.943,43.528919457,43.528918076,43.52892268,43.528927285,1,79.143,3.1,2.7,22010.348,-316.851,4.087539472,4.087541247,4.08753533,4.087529413,2.5,1,16.9,5.8,1749227882000,1749220682000,84.943,7.157,40.871,16.037,12.131,50.052
2025-06-06T14:38:03.000Z,1749220683.000,15.8,39.197,8.6,178,244.777,138.803,0,45.729,45.73,45.73,43.528867334,43.528865913,43.528870648,43.528875383,1,79.281,4.5,3.06,22018.451,-308.798,4.087609266,4.087610981,4.087605265,4.087599548,2.5,1,10.788,7.56,1749227883000,1749220683000,86.841,1.142,39.197,15.799,12.244,49.419
2025-06-06T14:38:04.000Z,1749220684.000,15.5,40.633,8.698,178.098,238.032,137.465,0,45.032,45.032,45.032,43.528814424,43.528813032,43.52881767,43.528822307,1,78.769,4.044,3.931,22026.461,-300.825,4.087676216,4.087677977,4.087672109,4.087666241,2.5,1,-1.495,7.974,1749227884000,1749220684000,86.744,5.431,40.633,15.496,11.762,49.008
2025-06-06T14:38:05.000Z,1749220685.000,15.459,41.222,8.7,178.1,231.45,136.878,0,42.99,42.99,42.99,43.528762959,43.528761581,43.528766175,43.528770768,1,67.661,2.513,2.514,22034.31,-292.999,4.087742694,4.087744474,4.08773854,4.087732607,2.5,1,-6.181,4.838,1749227885000,1749220685000,72.405,5.637,41.222,15.452,11.628,48.527
2025-06-06T14:38:06.000Z,1749220686.000,15.064,42.154,8.7,178.098,225.06,135.943,0,22.153,22.153,22.153,43.528713211,43.528711854,43.528716377,43.5287209,1,60.642,1.562,2.161,22042.018,-285.33,4.087808997,4.087810808,4.087804772,4.087798736,2.5,1,-4.689,3.898,1749227886000,1749220686000,63.243,6.987,42.154,15.048,11.168,47.933
2025-06-06T14:38:07.000Z,1749220687.000,13.757,50.598,8.702,178,219.38,127.402,0,29.37,29.37,29.37,43.528669472,43.528668326,43.528672148,43.528675971,1,51.482,1.843,2.415,22049.183,-278.308,4.087872809,4.087874877,4.087867982,4.087861086,2.5,1,-8.693,4.257,1749227887000,1749220687000,55.818,11.583,50.598,13.494,8.733,47.04
2025-06-06T14:38:08.000Z,1749220688.000,14.436,49.301,8.8,177.897,213.881,128.596,0,25.185,25.185,25.185,43.528628775,43.528627597,43.528631523,43.528635449,1,50.32,1.659,1.58,22056.646,-271.073,4.087945714,4.08794775,4.087940966,4.087934182,2.5,1,11.94,3.239,1749227888000,1749220688000,53.616,8.155,49.301,14.212,9.413,45.402
2025-06-06T14:38:09.000Z,1749220689.000,14.155,53.859,8.9,177.705,208.451,123.846,0,25.315,25.314,25.314,43.528588485,43.528587433,43.528590938,43.528594443,1,60.432,2.689,3.123,22064.045,-263.913,4.088017941,4.088020104,4.088012895,4.088005686,2.5,1,-11.368,5.812,1749227889000,1749220689000,66.243,11.209,53.859,13.679,8.348,43.756
2025-06-06T14:38:10.000Z,1749220690.000,14.6,52.72,9,177.695,203.123,124.976,0,33.692,33.692,33.692,43.528549661,43.528548579,43.528552186,43.528555793,1,59.333,3.742,1.8,22071.546,-256.717,4.088093218,4.088095352,4.08808824,4.088081129,2.5,1,0.544,5.571,1749227890000,1749220690000,64.572,8.037,52.72,14.175,8.842,41.838
2025-06-06T14:38:11.000Z,1749220691.000,15.044,50.27,9.098,177.504,197.432,127.234,0,38.543,38.543,38.543,43.528507784,43.528506642,43.52851045,43.528514258,1,63.452,4.099,2.476,22079.361,-249.164,4.088170323,4.088172396,4.088165485,4.088158574,2.5,1,-22.796,5.807,1749227891000,1749220691000,68.191,10.399,50.27,14.735,9.616,40.027
2025-06-06T14:38:12.000Z,1749220692.000,14.8,49.309,9.098,177.498,191.737,128.188,0,31.708,31.71,31.71,43.528465231,43.528464064,43.528467954,43.528471845,1,63.792,2.327,3.159,22086.913,-241.795,4.088242738,4.088244785,4.088237963,4.088231142,2.5,1,20.963,5.4,1749227892000,1749220692000,69.192,13.29,49.309,14.54,9.648,38.55
