ISODateTimeUTC,SecondsSince1970,SOG,TWA,TWS,TWD,Accel_X (m/s^2),Accel_Y (m/s^2),Accel_Z (m/s^2),BelowLineCalc,COG,DistanceToLeader,Euler_X (deg),Euler_Y (deg),Euler_Z (deg),F_back,F_front,Gyro_X (rad/s),Gyro_Y (rad/s),Gyro_Z (rad/s),Heel,Heel_Abs,Heel_Lwd,Lat,LatBow,LatCenter,LatStern,Leg,Line_C,Line_L,Line_R,LoadCell_1,LoadCell_2,LoadCell_3,LoadCell_4,LoadCell_5,LoadCell_6,Log,LogAlongCourse,Lon,LonBow,LonCenter,LonStern,M_back_X,M_back_Y,M_front_X,M_front_Y,M_tot_X,M_tot_Y,MagneticVariation,P_back_X,P_back_Y,P_front_X,P_front_Y,Rank,ROT,Side_lines,TimeLocal,TimeUTC,Total_lines,Trim,TWA_Abs,VMC,VMG,XTE
2025-06-06T14:38:00.000Z,1749220680.000,13.646,71.131,8.405,177.705,-1.267,-2.359,3.936,209.339,106.574,,18.008,17.078,-19.875,31642.178,8640.579,-0.266,-0.476,0.088,13.391,13.391,13.391,43.528472513,43.528471974,43.528473769,43.528475564,,44.376,1.453,0.239,6356.785,9401.558,15883.836,96.84,9584.859,-1041.12,1986.906,,4.087072144,4.08707464,4.087066321,4.087058003,324.268,5.917,-158.745,-956.046,165.523,7097.907,2.5,0.163,-10.324,-158.701,46.723,,-9.203,1.932,1749227880000,1749220680000,46.302,13.012,71.131,,4.412,
2025-06-06T14:38:01.000Z,1749220681.000,12.609,77.286,8.498,177.8,0.475,-3.018,0.834,206.455,100.514,,8.081,10.018,-25.301,23551.124,8995.827,0.009,-0.015,-0.548,16.081,16.081,16.081,43.5284566,43.528456255,43.528457404,43.528458552,,33.888,1.993,0.907,4555.918,8668.551,10326.655,-1220.331,6360.403,3855.756,1993.748,,4.087153473,4.087156033,4.087147499,4.087138965,437.995,-136.632,708.114,-338.228,1146.11,4522.61,2.5,-6.078,-18.57,-182.332,17.014,,-0.794,2.9,1749227881000,1749220681000,36.693,19.801,77.286,,2.772,
2025-06-06T14:38:02.000Z,1749220682.000,13.136,73.215,8.503,177.9,-4,-4.239,-4.496,203.567,104.685,,10.441,9.376,-21.772,15432.409,10273.157,0.148,0.243,-0.224,24.469,24.469,24.469,43.528441026,43.528440547,43.528442142,43.528443736,,41.81,3.201,0.556,2252.978,9709.859,3469.572,-2643.034,4358.611,8557.581,2000.577,,4.08723519,4.087237707,4.087229316,4.087220925,794.158,-400.457,1562.486,141.279,2356.644,1142.292,2.5,-27.905,-54.059,8.553,-151.194,,-0.857,3.842,1749227882000,1749220682000,44.744,13.89,73.215,,3.789,
2025-06-06T14:38:03.000Z,1749220683.000,14.1,69.877,8.6,178,0.206,-1.19,-1.955,200.267,108.123,,20.1,13.642,-20.531,25848.457,12716.227,-0.361,0.006,-0.195,11.246,11.246,11.246,43.528422539,43.528421951,43.528423908,43.528425865,,32.603,1.245,1.379,5872.543,9405.64,10570.275,-3448.52,5561.135,10603.611,2008.073,,4.087323718,4.087326192,4.087317946,4.0873097,376.275,-221.978,1960.272,144.731,2336.547,4420.559,2.5,-8.79,-14.733,6.535,-147.574,,16.422,2.642,1749227883000,1749220683000,35.246,15.767,69.877,,4.849,
2025-06-06T14:38:04.000Z,1749220684.000,14,65.814,8.697,178.097,-0.849,-1.978,0.562,196.701,112.283,,23.429,15.656,-23.032,20908.673,4879.86,0.003,-0.078,-0.006,10.947,10.948,10.948,43.528400932,43.528400216,43.528402603,43.528404989,,33.066,0.489,1.183,1850.627,11902.806,7155.24,344.477,9435.69,-4900.308,2015.237,,4.087406765,4.087409175,4.087401143,4.087393111,1070.557,-311.105,-731.648,-1270.43,338.91,3537.391,2.5,-15.125,-51.63,-865.645,869.44,,-4.432,1.73,1749227884000,1749220684000,34.832,11.852,65.814,,5.736,
2025-06-06T14:38:05.000Z,1749220685.000,13.058,62.051,8.7,178.1,-0.314,-1.452,0.247,192.813,116.049,,24.807,12.476,-24.064,23953.015,2634.438,-0.111,-0.023,-0.006,23.771,23.767,23.767,43.528375219,43.52837439,43.528377153,43.528379917,,42.209,0.75,0.632,4489.234,10122.165,9341.615,2386.167,8322.769,-8074.498,2021.944,,4.087481105,4.087483444,4.087475646,4.087467847,599.907,-248.47,-1459.263,-1272.208,-859.356,5717.112,2.5,-10.453,-24.88,-562.105,657.347,,-4.531,1.134,1749227885000,1749220685000,42.793,13.13,62.051,,6.12,
2025-06-06T14:38:06.000Z,1749220686.000,12.5,63.385,8.7,178.098,0.196,-1.929,0.299,189.031,114.712,,20.386,12.708,-16.458,20744.238,11753.294,0.077,0.079,-0.063,10.374,10.373,10.373,43.528350118,43.528349329,43.52835196,43.52835459,,38.5,1.655,0.865,3799.496,10601.243,6343.499,-1921.947,5688.449,7986.792,2028.477,,4.087553727,4.087556092,4.087548208,4.087540324,724.386,-379.899,1382.269,34.177,2106.655,2434.197,2.5,-18.315,-34.917,1.734,-116.546,,-14.015,2.465,1749227886000,1749220686000,41.158,15.92,63.385,,5.599,
2025-06-06T14:38:07.000Z,1749220687.000,12.582,62.69,8.703,178,0.066,-1.255,1.228,185.24,115.31,,25.559,13.312,-12.043,24016.959,10883.082,-0.242,-0.26,0.204,4.904,4.904,4.904,43.528325249,43.528324441,43.528327132,43.528329822,,35.59,1.579,0.836,3808.182,11876.145,8332.633,432.928,8785.421,1664.734,2035.182,,4.087628399,4.087630753,4.087622906,4.08761506,859.238,-346.632,171.837,-607.248,1031.075,3162.189,2.5,-14.483,-35.673,-58.28,-17.327,,-0.233,2.536,1749227887000,1749220687000,37.573,9.89,62.69,,5.773,
2025-06-06T14:38:08.000Z,1749220688.000,13.4,63.943,8.8,177.898,0.114,-2.254,1.997,181.278,113.954,,18.857,13.896,-13.681,23858.399,11734.711,0.152,-0.175,0.097,13.447,13.447,13.447,43.528299205,43.528298439,43.528300994,43.528303549,,30.688,1.54,0.366,3702.914,11814.672,8340.812,-1502.382,6393.915,6843.178,2042.163,,4.087706432,4.087708811,4.087700879,4.087692947,863.902,-338.385,1164.206,-95.623,2028.108,3509.257,2.5,-14.217,-36.064,-15.689,-91.025,,4.423,1.907,1749227888000,1749220688000,32.6,14.966,63.943,,5.886,
2025-06-06T14:38:09.000Z,1749220689.000,13.344,66.184,8.9,177.705,0.006,-1.82,1.44,177.607,111.521,,19.647,15.057,-19,24939.63,9622.872,0.119,-0.235,-0.127,4.54,4.54,4.54,43.528275896,43.528275205,43.528277509,43.528279814,,36.608,0.93,0.968,3659.104,11633.444,9647.083,149.493,8456.089,1017.289,2049.085,,4.087785296,4.087787714,4.087779654,4.087771594,849.267,-266.184,121.057,-661.869,970.325,4091.808,2.5,-10.657,-34.009,-74.963,-5.258,,-1.086,1.943,1749227889000,1749220689000,38.867,14.16,66.185,,5.376,
