ISODateTimeUTC,SecondsSince1970,COG,Heel,Heel_Abs,Heel_Lwd,Lat,LatBow,LatCenter,LatStern,Line_C,Line_L,Line_R,Log,Lon,LonBow,LonCenter,LonStern,MagneticVariation,ROT,Side_lines,SOG,TimeLocal,TimeUTC,Total_lines,Trim,TWA,TWA_Abs,TWD,TWS,VMG
2025-06-08T08:31:00.048Z,1749371460.048,37.9,-33.9,33.9,33.9,43.5185246,43.51852609,43.518521124,43.518516158,63.2,1.6,2.8,22353.918,4.1055104,4.105511999,4.105506668,4.105501337,2.5,,4.4,20.1,1749378660048.999,1749371460048.999,67.6,11.2,-93.3,93.3,304.6,8.2,1.157
2025-06-08T08:31:00.158Z,1749371460.158,38.6,-31.6,31.6,31.6,43.518532,43.518533476,43.518528557,43.518523639,63.69,1.4,2.8,22354.975,4.1055186,4.105520224,4.10551481,4.105509395,2.5,6.364,4.2,20.2,1749378660158.999,1749371460158.999,67.211,9.4,-94,94,304.6,8.2,1.409
2025-06-08T08:31:00.250Z,1749371460.250,39,-31.7,31.7,31.7,43.5185394,43.518540867,43.518535976,43.518531085,64.1,1.354,2.617,22356.016,4.1055265,4.105528139,4.105522677,4.105517215,2.5,4.348,3.971,20.2,1749378660250.999,1749371460250.999,66.886,7.6,-94.4,94.4,304.6,8.2,1.55
2025-06-08T08:31:00.360Z,1749371460.360,38.2,-34.8,34.8,34.8,43.5185469,43.518548384,43.518543438,43.518538492,62.8,1.3,2.4,22357.074,4.1055346,4.10553621,4.105530843,4.105525476,2.5,-7.339,3.7,20.3,1749378660360,1749371460360,66.5,8.2,-93.6,93.6,304.6,8.2,1.275
2025-06-08T08:31:00.461Z,1749371460.461,38,-34.5,34.5,34.5,43.5185544,43.518555888,43.518550928,43.518545969,59.1,1,2.503,22358.135,4.1055427,4.105544303,4.10553896,4.105533617,2.5,-1.961,3.597,20.3,1749378660461.998,1749371460461.998,64.142,6.8,-93.4,93.4,304.6,8.2,1.204
2025-06-08T08:31:00.559Z,1749371460.559,38.2,-34.9,34.9,34.9,43.5185617,43.518563184,43.518558238,43.518553292,58.4,0.9,2.6,22359.188,4.105551,4.10555261,4.105547243,4.105541876,2.5,2.062,3.5,20.3,1749378660559,1749371460559,61.9,7,-93.6,93.6,304.6,8.2,1.275
2025-06-08T08:31:00.657Z,1749371460.657,39.5,-33.8,33.8,33.8,43.518569,43.518570457,43.518565601,43.518560744,56.9,1.2,2.7,22360.25,4.1055595,4.105561156,4.105555636,4.105550115,2.5,13.131,3.9,20.4,1749378660657.999,1749371460657.999,60.8,8.9,-94.9,94.9,304.6,8.2,1.743
2025-06-08T08:31:00.757Z,1749371460.757,40,-33.9,33.9,33.9,43.5185764,43.518577846,43.518573025,43.518568204,57.9,1.4,3.1,22361.305,4.1055677,4.105569374,4.105563795,4.105558216,2.5,5,4.5,20.5,1749378660757.998,1749371460757.998,62.4,9.6,-95.4,95.4,304.6,8.2,1.929
2025-06-08T08:31:00.858Z,1749371460.858,39.4,-33.3,33.3,33.3,43.5185836,43.518585059,43.518580196,43.518575333,57,1.6,3.199,22362.365,4.1055763,4.105577953,4.105572444,4.105566935,2.5,-6,4.599,20.5,1749378660858,1749371460858,60.569,9.6,-94.8,94.8,304.6,8.2,1.715
2025-06-08T08:31:00.960Z,1749371460.960,40.6,-29.5,29.5,29.5,43.5185911,43.518592534,43.518587755,43.518582977,54.729,1.4,3.3,22363.439,4.1055847,4.105586394,4.105580746,4.105575098,2.5,11.651,4.7,20.5,1749378660960.998,1749371460960.998,58.684,8.2,-96,96,304.6,8.2,2.143
