ISODateTimeUTC,SecondsSince1970,COG,Heel,Heel_Abs,Heel_Lwd,Lat,LatBow,LatCenter,LatStern,Line_C,Line_L,Line_R,Log,Lon,LonBow,LonCenter,LonStern,MagneticVariation,ROT,Side_lines,SOG,TimeLocal,TimeUTC,Total_lines,Trim,TWA,TWA_Abs,TWD,TWS,VMG
2025-06-11T12:40:00.052Z,1749645600.052,333.5,-33.5,33.5,33.5,43.5118531,43.51185479,43.511849157,43.511843525,57.7,2.5,4.8,17733.17,4.0975635,4.097562338,4.09756621,4.097570082,2.5,,3.1,20.6,1749652800052,1749645600052,22.7,12.5,-141.09,141.09,192.41,5.305,16.029
2025-06-11T12:40:00.158Z,1749645600.158,333.6,-36.4,36.4,36.4,43.5118616,43.511863291,43.511857654,43.511852017,57.6,2.4,5.1,17734.213,4.097558,4.097556842,4.097560701,4.097564559,2.5,0.935,3,20.5,1749652800158.999,1749645600158.999,23.3,11.4,-141.168,141.168,192.432,5.316,15.969
2025-06-11T12:40:00.260Z,1749645600.260,334.6,-33.1,33.1,33.1,43.5118698,43.511871506,43.51186582,43.511860135,56.7,2.8,4.7,17735.232,4.0975524,4.097551283,4.097555006,4.097558728,2.5,9.901,3,20.6,1749652800260,1749645600260,23.8,13.2,-142.148,142.148,192.452,5.326,16.266
2025-06-11T12:40:00.360Z,1749645600.360,333.7,-29.9,29.9,29.9,43.5118781,43.511879793,43.511874151,43.511868509,56.8,3.8,4.2,17736.264,4.0975467,4.097545547,4.097549391,4.097553236,2.5,-9,2.8,20.5,1749652800360,1749645600360,24.1,10.9,-141.228,141.228,192.472,5.336,15.983
2025-06-11T12:40:00.459Z,1749645600.459,333.6,-26,26,26,43.5118863,43.511887991,43.511882354,43.511876717,56.8,4.1,4.3,17737.273,4.0975413,4.097540142,4.097544001,4.097547859,2.5,-1.01,2.7,20.4,1749652800459,1749645600459,24.9,8.2,-141.108,141.108,192.492,5.346,15.878
2025-06-11T12:40:00.556Z,1749645600.556,334.4,-34.5,34.5,34.5,43.5118943,43.511896003,43.511890327,43.511884651,57.3,4.3,4.5,17738.287,4.0975353,4.097534175,4.097537925,4.097541674,2.5,8.163,2.6,20.3,1749652800556.997,1749645600556.997,25.5,9.7,-141.889,141.889,192.511,5.356,15.972
2025-06-11T12:40:00.658Z,1749645600.658,331.1,-36.1,36.1,36.1,43.5119024,43.511904053,43.511898543,43.511893033,56.6,3.5,4.5,17739.295,4.0975297,4.097528442,4.097532636,4.09753683,2.5,-32.352,2.549,20.2,1749652800658.999,1749645600658.999,25.5,11.3,-138.568,138.568,192.532,5.366,15.145
2025-06-11T12:40:00.756Z,1749645600.756,333.4,-34.4,34.4,34.4,43.5119107,43.511912388,43.511906761,43.511901134,56.9,3.2,4.6,17740.314,4.0975243,4.097523134,4.09752702,4.097530906,2.5,23.711,2.5,20.1,1749652800756,1749645600756,25.5,13.7,-140.849,140.849,192.551,5.376,15.587
2025-06-11T12:40:00.857Z,1749645600.857,334.6,-39.4,39.4,39.4,43.5119188,43.511920506,43.51191482,43.511909135,57.4,3.7,4.9,17741.33,4.0975185,4.097517383,4.097521106,4.097524828,2.5,11.881,2.9,20,1749652800857,1749645600857,26.2,11.6,-142.029,142.029,192.571,5.386,15.766
2025-06-11T12:40:00.956Z,1749645600.956,332.7,-35.6,35.6,35.6,43.5119272,43.511928878,43.511923285,43.511917693,56.5,3.7,5.153,17742.365,4.097513,4.097511806,4.097515786,4.097519766,2.5,-19.192,2.9,19.9,1749652800956,1749645600956,26.151,10.8,-140.109,140.109,192.591,5.396,15.269
