ISODateTimeUTC,SecondsSince1970,Heel_Abs,Heel_Lwd,Lat,LatBow,LatCenter,LatStern,Leg,Line_C,Line_L,Line_R,Log,LogAlongCourse,Lon,LonBow,LonCenter,LonStern,MagneticVariation,Rank,ROT,Side_lines,TimeLocal,TimeUTC,Total_lines,Trim,TWA_Abs,VMC,VMG,XTE,Heel,DistanceToLeader,COG,BelowLineCalc,TWD,TWS,TWA,SOG
2025-06-06T14:18:00.058Z,1749219480.058,10.8,10.8,43.5266816,43.526682541,43.526679404,43.526676267,,17.8,3.1,2,13713.392,,4.08975,4.089747743,4.089755267,4.089762792,2.5,,,5.1,1749226680058,1749219480058,22.9,2,124.712,,0.683,,-10.8,,299.9,-24.712,175.188,6.394,-124.712,1.2
2025-06-06T14:18:00.156Z,1749219480.156,9.8,9.8,43.5266816,43.526682642,43.526679168,43.526675695,,17.2,3.4,2.2,13713.392,,4.08975,4.089747829,4.089755067,4.089762305,2.5,,36.735,5.6,1749226680156,1749219480156,22.8,3.4,128.331,,0.682,,-9.8,,303.5,-24.702,175.169,6.384,-128.331,1.1
2025-06-06T14:18:00.259Z,1749219480.259,7.3,7.3,43.5266833,43.526684462,43.526680588,43.526676713,,16.732,3.5,2.1,13713.626,,4.0897483,4.089746248,4.089753088,4.089759928,2.5,,43.689,5.6,1749226680259,1749219480259,21.708,5,132.852,,0.748,,-7.3,,308,-24.481,175.148,6.374,-132.852,1.1
2025-06-06T14:18:00.354Z,1749219480.354,6.2,6.2,43.5266833,43.526684275,43.526681024,43.526677774,,16.3,2.7,1.7,13713.626,,4.0897483,4.08974607,4.089753503,4.089760935,2.5,,-72.632,4.4,1749226680354,1749219480354,20.7,5.7,125.971,,0.587,,-6.2,,301.1,-24.498,175.129,6.365,-125.971,1
2025-06-06T14:18:00.459Z,1749219480.459,5.6,5.6,43.5266833,43.526684827,43.526679736,43.526674644,,16.8,2,1.8,13713.626,,4.0897483,4.089746769,4.089751871,4.089756973,2.5,,218.095,3.8,1749226680459,1749219480459,20.6,4.8,148.892,,0.685,,-5.6,,324,-24.448,175.108,6.354,-148.892,0.8
2025-06-06T14:18:00.563Z,1749219480.563,6.5,6.5,43.5266833,43.526684426,43.526680673,43.526676921,,16.8,1.7,1.9,13713.763,,4.0897466,4.089744509,4.089751478,4.089758446,2.5,,-167.308,3.6,1749226680563,1749219480563,20.4,3.1,131.513,,0.265,,-6.5,,306.6,-24.46,175.087,6.344,-131.513,0.4
2025-06-06T14:18:00.660Z,1749219480.660,5.4,5.4,43.5266833,43.526684007,43.52668165,43.526679292,,17.5,2.7,1.849,13713.763,,4.0897466,4.089744186,4.089752234,4.089760282,2.5,,-150.516,4.911,1749226680660,1749219480660,22.039,1.8,116.932,,0.544,,-5.4,,292,-24.501,175.068,6.334,-116.932,1.2
2025-06-06T14:18:00.755Z,1749219480.755,4.7,4.7,43.5266833,43.52668447,43.52668057,43.526676669,,19.2,3.846,1.8,13713.892,,4.089745,4.089742956,4.089749768,4.08975658,2.5,,171.579,6.195,1749226680755,1749219480755,23.643,0.2,133.251,,0.822,,-4.7,,308.3,-24.433,175.049,6.325,-133.251,1.2
2025-06-06T14:18:00.859Z,1749219480.859,8.7,8.7,43.526685,43.526686214,43.526682168,43.526678123,,17.8,5.1,2.5,13714.081,,4.089745,4.089743005,4.089749654,4.089756304,2.5,,16.346,7.6,1749226680859,1749219480859,25.4,0,134.972,,0.919,,-8.7,,310,-24.242,175.028,6.314,-134.972,1.3
2025-06-06T14:18:00.953Z,1749219480.953,6.2,6.2,43.526685,43.526686537,43.526681413,43.52667629,,19.1,4.1,2.2,13714.081,,4.089745,4.089743488,4.089748528,4.089753569,2.5,,152.633,6.3,1749226680953.999,1749219480953.999,25.4,3,149.491,,1.12,,-6.2,,324.5,-24.214,175.009,6.305,-149.491,1.3
