ISODateTimeUTC,SecondsSince1970,Heel_Abs,Heel_Lwd,Lat,LatBow,LatCenter,LatStern,Leg,Line_C,Line_L,Line_R,Log,LogAlongCourse,Lon,LonBow,LonCenter,LonStern,MagneticVariation,Rank,ROT,Side_lines,TimeLocal,TimeUTC,Total_lines,Trim,TWA_Abs,VMC,VMG,XTE,Heel,DistanceToLeader,COG,BelowLineCalc,TWD,TWS,TWA,SOG
2025-06-07T12:34:00.066Z,1749299640.066,17.2,17.2,43.5201516,43.520152362,43.520149822,43.520147283,,21,0.4,1.2,28672.541,,4.0848516,4.084849218,4.084857159,4.0848651,2.5,,,1.6,1749306840066.999,1749299640066.999,22.6,16.9,125.12,,7.651,,-17.2,,293.8,-41.605,168.68,8.2,-125.12,13.3
2025-06-07T12:34:00.160Z,1749299640.160,16.4,16.4,43.5201533,43.52015411,43.52015141,43.520148711,,20.9,0.2,1.6,28673.105,,4.084845,4.084842648,4.084850488,4.084858328,2.5,,17.204,1.8,1749306840160,1749299640160,22.7,19.3,126.748,,7.898,,-16.4,,295.4,-41.406,168.652,8.2,-126.748,13.2
2025-06-07T12:34:00.262Z,1749299640.262,17.8,17.8,43.5201566,43.520157527,43.520154437,43.520151348,,20.7,0.302,1.4,28673.877,,4.0848366,4.084834332,4.084841893,4.084849454,2.5,,39.216,1.529,1749306840262,1749299640262,22.009,21.1,130.779,,8.556,,-17.8,,299.4,-41.021,168.621,8.2,-130.779,13.1
2025-06-07T12:34:00.359Z,1749299640.359,10.6,10.6,43.52016,43.520160984,43.520157705,43.520154426,,20.4,0.398,1.1,28674.529,,4.08483,4.084827778,4.084835186,4.084842594,2.5,,20.619,1.271,1749306840359,1749299640359,21.352,20.6,132.808,,8.902,,-10.6,,301.4,-40.632,168.592,8.2,-132.808,13.1
2025-06-07T12:34:00.460Z,1749299640.460,9.2,9.2,43.520165,43.520166069,43.520162505,43.52015894,,19.592,0.5,0.5,28675.305,,4.0848233,4.084821154,4.084828307,4.08483546,2.5,,30.393,1,1749306840460.998,1749299640460.998,20.661,17.4,135.938,,9.342,,-9.2,,304.5,-40.062,168.562,8.2,-135.938,13
2025-06-07T12:34:00.556Z,1749299640.556,5.1,5.1,43.5201683,43.520169407,43.520165717,43.520162026,,18.832,0.2,0.7,28675.957,,4.0848166,4.084814491,4.084821521,4.084828552,2.5,,14.583,0.9,1749306840556.998,1749299640556.998,20.011,15.8,137.367,,9.564,,-5.1,,305.9,-39.687,168.533,8.2,-137.367,13
2025-06-07T12:34:00.661Z,1749299640.661,4.9,4.9,43.5201716,43.52017276,43.520168894,43.520165028,,18,0.2,1.1,28676.604,,4.08481,4.084807945,4.084814794,4.084821642,2.5,,19.047,1.3,1749306840661.999,1749299640661.999,19.3,19.5,139.399,,9.87,,-4.9,,307.9,-39.309,168.501,8.2,-139.399,13
2025-06-07T12:34:00.757Z,1749299640.757,5.1,5.1,43.5201766,43.520177786,43.520173834,43.520169881,,17.5,0.2,1,28677.379,,4.0848033,4.084801274,4.084808028,4.084814783,2.5,,10.417,1.2,1749306840757.998,1749299640757.998,18.7,19.7,140.427,,10.098,,-5.1,,308.9,-38.746,168.473,8.2,-140.427,13.1
2025-06-07T12:34:00.860Z,1749299640.860,3.6,3.6,43.52018,43.520181203,43.520177192,43.52017318,,15.4,0.4,1.4,28678.039,,4.0847966,4.084794594,4.084801281,4.084807968,2.5,,6.796,1.8,1749306840860.999,1749299640860.999,17.2,17.5,141.158,,10.281,,-3.6,,309.6,-38.362,168.442,8.2,-141.158,13.2
2025-06-07T12:34:00.957Z,1749299640.957,1.3,-1.3,43.520185,43.520186236,43.520182116,43.520177995,,13.2,0.1,1.7,28678.809,,4.08479,4.084788032,4.084794592,4.084801152,2.5,,13.402,2.15,1749306840957.999,1749299640957.999,15.75,17.2,142.487,,10.55,,1.3,,310.9,-37.798,168.413,8.2,-142.487,13.3
2025-06-07T12:34:01.055Z,1749299641.055,0.8,0.8,43.5201883,43.520189578,43.520185318,43.520181058,,11.8,0.5,2,28679.463,,4.0847833,4.084781383,4.084787772,4.084794161,2.5,,17.526,2.5,1749306841055,1749299641055,14.3,20.7,144.2,,10.787,,-0.8,,312.6,-37.422,168.4,8.205,-144.2,13.3
2025-06-07T12:34:01.158Z,1749299641.158,7.7,7.7,43.5201933,43.520194539,43.52019041,43.520186281,,11.5,0.2,2.2,28680.238,,4.0847766,4.084774635,4.084781185,4.084787735,2.5,,-15.385,2.4,1749306841158.999,1749299641158.999,13.9,20.5,142.6,,10.566,,-7.7,,311,-36.866,168.4,8.216,-142.6,13.3
