ISODateTimeUTC,SecondsSince1970,Heel_Abs,Heel_Lwd,Lat,LatBow,LatCenter,LatStern,Leg,Line_C,Line_L,Line_R,Log,LogAlongCourse,Lon,LonBow,LonCenter,LonStern,MagneticVariation,Rank,ROT,Side_lines,TimeLocal,TimeUTC,Total_lines,Trim,TWA_Abs,VMC,VMG,XTE,Heel,DistanceToLeader,COG,BelowLineCalc,TWD,TWS,TWA,SOG
2025-06-09T12:17:00.072Z,1749471420.072,11.9,11.9,43.5125238,43.512525665,43.512519449,43.512513233,,0.631,0.7,28.7,1835.018,,4.1003796,4.100379193,4.10038055,4.100381908,2.5,,,29.4,1749478620072,1749471420072,32.023,15.1,98.058,,1.976,,-11.9,,351,163.773,252.942,7.107,-98.058,14.1
2025-06-09T12:17:00.147Z,1749471420.147,13.2,13.2,43.5125306,43.512532459,43.512526261,43.512520064,,0.649,0.8,27.8,1835.788,,4.1003778,4.100377348,4.100378855,4.100380362,2.5,,-13.333,28.6,1749478620147,1749471420147,31.438,14.4,97.118,,1.747,,-13.2,,350,163.829,252.882,7.115,-97.118,14.1
2025-06-09T12:17:00.252Z,1749471420.252,12.4,12.4,43.5125368,43.512538651,43.512532481,43.512526312,,0.675,0.7,27.5,1836.495,,4.1003759,4.100375385,4.100377101,4.100378816,2.5,,-13.208,28.2,1749478620252.999,1749471420252.999,30.611,13.9,95.802,,1.446,,-12.4,,348.6,163.857,252.798,7.125,-95.802,14.3
2025-06-09T12:17:00.357Z,1749471420.357,12.6,12.6,43.5125434,43.512545245,43.512539096,43.512532947,,0.7,0.8,28.3,1837.246,,4.1003739,4.100373345,4.100375194,4.100377043,2.5,,-8.654,29.1,1749478620357,1749471420357,29.8,11.5,94.986,,1.234,,-12.6,,347.7,163.891,252.714,7.136,-94.986,14.2
2025-06-09T12:17:00.452Z,1749471420.452,15.8,15.8,43.5125498,43.512551641,43.512545504,43.512539367,,0.5,1.1,29.1,1837.984,,4.1003715,4.100370923,4.100372846,4.100374768,2.5,,-5.263,30.2,1749478620452,1749471420452,30.7,13.4,94.562,,1.137,,-15.8,,347.2,163.89,252.638,7.145,-94.562,14.3
2025-06-09T12:17:00.556Z,1749471420.556,19.3,19.3,43.5125562,43.512558023,43.512551947,43.51254587,,0.813,0.8,30,1838.71,,4.1003697,4.100369022,4.100371282,4.100373543,2.5,,-21.905,30.8,1749478620556.998,1749471420556.998,30.949,13,92.346,,0.585,,-19.3,,344.9,163.928,252.554,7.156,-92.346,14.3
2025-06-09T12:17:00.653Z,1749471420.653,24.1,24.1,43.5125625,43.512564349,43.512558186,43.512552023,,1.1,0.2,29.903,1839.431,,4.1003676,4.100367072,4.100368832,4.100370592,2.5,,35.416,31.093,1749478620653,1749471420653,31.177,16.6,95.822,,1.451,,-24.1,,348.3,163.962,252.478,7.165,-95.822,14.3
2025-06-09T12:17:00.756Z,1749471420.756,27.7,27.7,43.5125693,43.512571134,43.512565022,43.51255891,,1,0.252,29.798,1840.208,,4.1003654,4.100364779,4.100366849,4.100368919,2.5,,-20.388,31.408,1749478620756,1749471420756,31.421,19.1,93.805,,0.949,,-27.7,,346.2,163.982,252.395,7.176,-93.805,14.3
2025-06-09T12:17:00.852Z,1749471420.852,24.1,24.1,43.5125759,43.512577739,43.512571609,43.51256548,,0.713,0.301,29.7,1840.952,,4.1003639,4.10036331,4.100365277,4.100367244,2.5,,7.216,31.704,1749478620852.998,1749471420852.998,31.651,15.4,94.582,,1.15,,-24.1,,346.9,164.06,252.318,7.185,-94.582,14.4
2025-06-09T12:17:00.959Z,1749471420.959,16.5,16.5,43.5125826,43.512584463,43.512578252,43.512572042,,0.4,0.355,29.7,1841.707,,4.1003624,4.100361979,4.100363382,4.100364784,2.5,,35.849,32.028,1749478620959,1749471420959,31.903,16.2,98.467,,2.106,,-16.5,,350.7,164.154,252.233,7.196,-98.467,14.3
2025-06-09T12:17:01.048Z,1749471421.048,16.9,16.9,43.5125894,43.512591264,43.51258505,43.512578836,,0.309,0.4,31.9,1842.476,,4.1003607,4.100360288,4.100361661,4.100363033,2.5,,2.247,32.3,1749478621048,1749471421048,32.114,14,98.724,,2.169,,-16.9,,350.9,164.221,252.176,7.2,-98.724,14.3
2025-06-09T12:17:01.160Z,1749471421.160,16.2,16.2,43.5125963,43.512598159,43.512591963,43.512585767,,0.194,0.5,32.4,1843.258,,4.1003588,4.100358343,4.100359865,4.100361387,2.5,,-8.85,32.9,1749478621160.999,1749471421160.999,32.382,12.6,97.781,,1.963,,-16.2,,349.9,164.271,252.12,7.2,-97.781,14.5
2025-06-09T12:17:01.252Z,1749471421.252,15.4,15.4,43.5126033,43.51260515,43.512598983,43.512592816,,0.1,0.6,31.9,1844.063,,4.1003563,4.100355781,4.100357511,4.100359241,2.5,,-15.217,32.5,1749478621252.999,1749471421252.999,32.6,14,96.426,,1.634,,-15.4,,348.5,164.276,252.074,7.2,-96.426,14.6
2025-06-09T12:17:01.364Z,1749471421.364,18,18,43.5126099,43.512611727,43.512605637,43.512599547,,0.21,0.8,31.4,1844.831,,4.1003535,4.100352844,4.100355031,4.100357219,2.5,,-27.928,32.2,1749478621364,1749471421364,32.655,13.5,93.382,,0.861,,-18,,345.4,164.24,252.018,7.2,-93.382,14.6
2025-06-09T12:17:01.453Z,1749471421.453,20,20,43.5126165,43.512618304,43.512612292,43.51260628,,0.3,0.8,31.6,1845.612,,4.1003502,4.10034943,4.100351996,4.100354562,2.5,,-28.889,32.4,1749478621453.999,1749471421453.999,32.7,13,90.827,,0.214,,-20,,342.8,164.167,251.973,7.2,-90.827,14.8
2025-06-09T12:17:01.556Z,1749471421.556,19,19,43.5126229,43.512624679,43.51261875,43.512612821,,0.4,0.7,34.3,1846.377,,4.1003467,4.100345827,4.100348738,4.100351649,2.5,,-23.529,35,1749478621556,1749471421556,35.4,11.7,88.478,,0.396,,-19,,340.4,164.073,251.922,7.2,-88.478,14.9
2025-06-09T12:17:01.652Z,1749471421.652,21.4,21.4,43.5126291,43.512630852,43.512625012,43.512619173,,0,0.604,37.804,1847.142,,4.1003426,4.100341629,4.100344866,4.100348103,2.5,,-23.958,38.408,1749478621652,1749471421652,38.712,10.5,86.226,,0.981,,-21.4,,338.1,163.927,251.874,7.2,-86.226,14.9
2025-06-09T12:17:01.756Z,1749471421.756,32.2,32.2,43.512635,43.512636701,43.51263103,43.512625359,,0.2,0.5,41.6,1847.877,,4.1003385,4.100337371,4.100341134,4.100344898,2.5,,-36.539,42.1,1749478621756,1749471421756,42.3,11.2,82.478,,1.951,,-32.2,,334.3,163.767,251.822,7.2,-82.478,14.9
2025-06-09T12:17:01.852Z,1749471421.852,36.2,36.2,43.5126412,43.512642888,43.512637261,43.512631634,,0.7,0.8,39.7,1848.628,,4.1003348,4.100333634,4.10033752,4.100341406,2.5,,-9.278,40.5,1749478621852.998,1749471421852.998,41.2,15.9,81.627,,2.17,,-36.2,,333.4,163.657,251.773,7.2,-81.627,14.9
2025-06-09T12:17:01.960Z,1749471421.960,37.4,37.4,43.5126475,43.512649233,43.512643457,43.512637681,,0.306,0.9,46.5,1849.393,,4.100331,4.100329966,4.100333413,4.100336859,2.5,,29.63,47.4,1749478621960.998,1749471421960.998,44.575,13.2,84.881,,1.33,,-37.4,,336.6,163.557,251.719,7.2,-84.881,14.9
2025-06-09T12:17:02.045Z,1749471422.045,35.3,35.3,43.5126537,43.51265543,43.512649663,43.512643896,,0,1.1,46.1,1850.158,,4.1003269,4.100325858,4.100329332,4.100332806,2.5,,-2.381,47.2,1749478622045,1749471422045,47.2,12.9,84.731,,1.368,,-35.3,,336.4,163.418,251.669,7.195,-84.731,14.9
2025-06-09T12:17:02.168Z,1749471422.168,31.4,31.4,43.5126602,43.5126619,43.512656234,43.512650568,,0.186,0.9,48.9,1850.964,,4.1003225,4.100321367,4.100325144,4.100328921,2.5,,-17.742,49.8,1749478622168.998,1749471422168.998,49.742,10.3,82.618,,1.914,,-31.4,,334.2,163.258,251.582,7.183,-82.618,14.9
2025-06-09T12:17:02.244Z,1749471422.244,31.1,31.1,43.5126665,43.512668193,43.512662551,43.512656909,,0.3,0.7,50.3,1851.756,,4.1003179,4.100316747,4.100320591,4.100324436,2.5,,-6.579,51,1749478622244.998,1749471422244.998,51.3,9.7,82.172,,2.043,,-31.1,,333.7,163.083,251.529,7.175,-82.172,15
2025-06-09T12:17:02.356Z,1749471422.356,37.3,37.3,43.5126727,43.51267437,43.512668803,43.512663236,,0.7,0.807,53.5,1852.555,,4.1003129,4.100311686,4.100315733,4.10031978,2.5,,-13.513,55.082,1749478622356,1749471422356,55.812,19,80.749,,2.411,,-37.3,,332.2,162.87,251.451,7.164,-80.749,15
2025-06-09T12:17:02.453Z,1749471422.453,38.6,38.6,43.5126787,43.512680328,43.5126749,43.512669472,,1.09,0.901,58.8,1853.366,,4.1003072,4.100305883,4.100310274,4.100314665,2.5,,-26.804,58.649,1749478622453,1749471422453,59.754,16.5,78.217,,3.063,,-38.6,,329.6,162.592,251.383,7.155,-78.217,15
2025-06-09T12:17:02.555Z,1749471422.555,38.3,38.3,43.5126848,43.512686352,43.512681178,43.512676004,,1.5,1,61.4,1854.19,,4.1003014,4.100299918,4.100304858,4.100309798,2.5,,-42.157,62.4,1749478622555,1749471422555,63.9,15.2,73.989,,4.165,,-38.3,,325.3,162.304,251.311,7.144,-73.989,15.1
2025-06-09T12:17:02.652Z,1749471422.652,37.2,37.2,43.5126906,43.512692148,43.512686987,43.512681825,,1.7,1.5,65,1854.996,,4.1002954,4.10029391,4.100298876,4.100303841,2.5,,-2.062,66.5,1749478622652,1749471422652,68.2,12.7,73.856,,4.198,,-37.2,,325.1,162.007,251.244,7.135,-73.856,15.1
2025-06-09T12:17:02.755Z,1749471422.755,40.4,40.4,43.5126967,43.512698202,43.512693196,43.512688189,,1.8,1.5,65.816,1855.803,,4.10029,4.100288422,4.100293681,4.10029894,2.5,,-23.301,67.316,1749478622755,1749471422755,69.843,12.3,71.529,,4.848,,-40.4,,322.7,161.757,251.171,7.124,-71.529,15.3
2025-06-09T12:17:02.852Z,1749471422.852,35.9,35.9,43.5127028,43.512704383,43.512699105,43.512693827,,2.1,1.6,66.592,1856.65,,4.1002837,4.100282282,4.100287008,4.100291735,2.5,,43.878,68.092,1749478622852.998,1749471422852.998,71.406,13.5,75.897,,3.777,,-35.9,,327,161.46,251.103,7.115,-75.897,15.5
2025-06-09T12:17:02.954Z,1749471422.954,28.2,28.2,43.5127079,43.512709412,43.512704372,43.512699333,,2.205,1.5,67.4,1857.434,,4.100277,4.100275441,4.100280639,4.100285837,2.5,,-37.254,68.9,1749478622954.999,1749471422954.999,73.033,15.4,72.169,,4.777,,-28.2,,323.2,161.074,251.031,7.104,-72.169,15.6
2025-06-09T12:17:03.046Z,1749471423.046,30.6,30.6,43.5127127,43.512714067,43.51270951,43.512704952,,2.3,1.7,70.5,1858.223,,4.1002698,4.100268005,4.100273989,4.100279974,2.5,,-73.913,72.2,1749478623046.999,1749471423046.999,74.5,16.4,65.442,,6.484,,-30.6,,316.4,160.632,250.958,7.095,-65.442,15.6
2025-06-09T12:17:03.157Z,1749471423.157,36.8,36.8,43.5127177,43.512718963,43.512714752,43.512710541,,1.4,1.4,72,1859.05,,4.1002622,4.100260265,4.100266714,4.100273163,2.5,,-40,73.4,1749478623157,1749471423157,74.8,13.3,61.141,,7.529,,-36.8,,312,160.173,250.859,7.084,-61.141,15.6
2025-06-09T12:17:03.253Z,1749471423.253,42.5,42.5,43.5127221,43.512723363,43.512719152,43.512714941,,0.7,1.4,70.5,1859.86,,4.1002542,4.100252265,4.100258714,4.100265163,2.5,,0,71.9,1749478623253.999,1749471423253.999,72.6,10.1,61.229,,7.557,,-42.5,,312,159.679,250.771,7.075,-61.229,15.7
2025-06-09T12:17:03.344Z,1749471423.344,42.3,42.3,43.5127266,43.512727731,43.512723961,43.512720191,,0.5,1.1,68.1,1860.652,,4.1002466,4.100244515,4.100251464,4.100258413,2.5,,-57.143,69.2,1749478623344.999,1749471423344.999,69.7,8.9,56.111,,8.81,,-42.3,,306.8,159.204,250.689,7.065,-56.111,15.8
2025-06-09T12:17:03.453Z,1749471423.453,41.7,41.7,43.5127309,43.512732086,43.512728134,43.512724181,,0.4,0.8,64.763,1861.461,,4.1002385,4.100236474,4.100243228,4.100249981,2.5,,19.266,65.792,1749478623453.999,1749471423453.999,66.398,9.4,58.309,,8.3,,-41.7,,308.9,158.706,250.591,7.055,-58.309,15.8
2025-06-09T12:17:03.556Z,1749471423.556,40.5,40.5,43.5127355,43.512736618,43.512732892,43.512729166,,0.7,0.8,61.639,1862.272,,4.1002307,4.100228602,4.100235596,4.10024259,2.5,,-25.49,62.602,1749478623556,1749471423556,63.308,9.8,55.8,,8.881,,-40.5,,306.3,158.226,250.5,7.044,-55.8,15.8
2025-06-09T12:17:03.652Z,1749471423.652,45.4,45.4,43.5127397,43.512740878,43.512736952,43.512733025,,0.8,0.9,58.7,1863.089,,4.1002224,4.100220365,4.100227147,4.100233929,2.5,,23.959,59.6,1749478623652,1749471423652,60.4,11.3,58.187,,8.329,,-45.4,,308.6,157.71,250.413,7.035,-58.187,15.8
2025-06-09T12:17:03.753Z,1749471423.753,45.1,45.1,43.5127442,43.512745275,43.512741692,43.512738109,,0.6,1,56.8,1863.886,,4.1002147,4.10021256,4.100219694,4.100226829,2.5,,-38.236,57.8,1749478623753.999,1749471423753.999,58.4,13.9,54.379,,9.202,,-45.1,,304.7,157.231,250.321,7.025,-54.379,15.8
2025-06-09T12:17:03.852Z,1749471423.852,41.8,41.8,43.5127486,43.512749786,43.512745834,43.512741881,,0.6,0.8,54.7,1864.709,,4.1002065,4.100204474,4.100211228,4.100217981,2.5,,42.857,55.5,1749478623852,1749471423852,56.1,16.3,58.667,,8.216,,-41.8,,308.9,156.734,250.233,7.015,-58.667,15.8
2025-06-09T12:17:03.954Z,1749471423.954,37.5,37.5,43.5127531,43.512754212,43.512750504,43.512746796,,0.6,0.8,53.9,1865.545,,4.1001982,4.100196096,4.100203108,4.10021012,2.5,,-27.185,54.7,1749478623954.999,1749471423954.999,55.3,15.8,55.959,,8.845,,-37.5,,306.1,156.211,250.141,7.004,-55.959,15.8
2025-06-09T12:17:04.046Z,1749471424.046,33.3,33.3,43.5127583,43.51275942,43.512755686,43.512751951,,1.1,1,53.7,1866.406,,4.1001903,4.100188205,4.100195189,4.100202174,2.5,,3.261,54.7,1749478624046.999,1749471424046.999,55.8,13.6,56.333,,8.759,,-33.3,,306.4,155.75,250.067,6.995,-56.333,15.8
2025-06-09T12:17:04.160Z,1749471424.160,28.2,28.2,43.5127626,43.512763868,43.512759641,43.512755413,,1.4,1.2,53.03,1867.229,,4.100182,4.100180071,4.1001865,4.100192929,2.5,,51.327,54.226,1749478624160,1749471424160,55.605,12.3,62.212,,7.413,,-28.2,,312.2,155.247,249.988,6.984,-62.212,15.9
2025-06-09T12:17:04.253Z,1749471424.253,37.4,37.4,43.5127668,43.512767907,43.512764217,43.512760526,,1.5,1.2,52.473,1868.072,,4.1001733,4.100171191,4.100178221,4.10018525,2.5,,-67.022,53.831,1749478624253.999,1749471424253.999,55.442,15.8,55.978,,8.896,,-37.4,,305.9,154.674,249.922,6.975,-55.978,15.9
2025-06-09T12:17:04.346Z,1749471424.346,38.7,38.7,43.5127709,43.512771928,43.512768501,43.512765073,,1.5,1.3,51.922,1868.915,,4.1001645,4.100162317,4.100169595,4.100176873,2.5,,-31.183,53.441,1749478624346.999,1749471424346.999,55.281,15.7,53.143,,9.597,,-38.7,,303,154.101,249.857,6.965,-53.143,16
2025-06-09T12:17:04.452Z,1749471424.452,40.7,40.7,43.5127749,43.512775926,43.512772507,43.512769089,,2.1,1.7,51.3,1869.767,,4.1001555,4.100153314,4.1001606,4.100167887,2.5,,-0.952,53,1749478624452,1749471424452,55.1,15.3,53.116,,9.603,,-40.7,,302.9,153.518,249.784,6.955,-53.116,16
2025-06-09T12:17:04.555Z,1749471424.555,38.1,38.1,43.5127789,43.512779881,43.512776611,43.512773342,,3.6,2.5,52.5,1870.618,,4.1001465,4.100144275,4.100151691,4.100159106,2.5,,-15.534,55,1749478624555,1749471424555,58.6,13.4,51.589,,10.003,,-38.1,,301.3,152.93,249.712,6.944,-51.589,16.1
2025-06-09T12:17:04.652Z,1749471424.652,34.1,34.1,43.512783,43.512783992,43.512780685,43.512777378,,4.324,3.1,60.2,1871.496,,4.1001372,4.100134985,4.100142368,4.100149752,2.5,,4.124,63.3,1749478624652,1749471424652,67.287,15.6,52.056,,9.961,,-34.1,,301.7,152.328,249.644,6.935,-52.056,16.2
2025-06-09T12:17:04.756Z,1749471424.756,36.3,36.3,43.5127869,43.512787872,43.512784631,43.51278139,,5.1,3,68.5,1872.363,,4.1001279,4.100125668,4.100133107,4.100140545,2.5,,-6.731,71.5,1749478624756,1749471424756,76.6,15.6,51.429,,10.163,,-36.3,,301,151.716,249.571,6.924,-51.429,16.3
2025-06-09T12:17:04.852Z,1749471424.852,33.7,33.7,43.5127906,43.512791553,43.512788377,43.512785202,,5.3,3.329,72.9,1873.24,,4.1001183,4.100116052,4.100123545,4.100131037,2.5,,-7.292,77.615,1749478624852,1749471424852,82.814,14,50.796,,10.366,,-33.7,,300.3,151.076,249.504,6.915,-50.796,16.4
